day,month,year,modern_site_code,historical_site_code,start_time,number,time_seg,HSF,notes,scientific_name,common_name,species_code,order,family
15,3,2021,KKTG1,KKTG,8:25,1,3,H,,Ficedula nigrorufa,Black-and-orange Flycatcher,BAOF,Passeriformes,Muscicapidae (Old World Flycatchers)
13,2,2021,KKTG1,KKTG,7:14,2,1,S,,NA,NA,NA,NA,NA
13,2,2021,KKTG1,KKTG,7:14,2,1,H,,Acrocephalus dumetorum,Blyth's Reed Warbler,BRWA,Passeriformes,Acrocephalidae (Reed Warblers and Allies)
15,3,2021,KKTG1,KKTG,8:25,1,3,H,,Acrocephalus dumetorum,Blyth's Reed Warbler,BRWA,Passeriformes,Acrocephalidae (Reed Warblers and Allies)
13,2,2021,KKTG1,KKTG,7:14,1,2,H,,Hemipus picatus,Bar-winged Flycatcher-shrike,BWFS,Passeriformes,"Vangidae (Vangas, Helmetshrikes, and Allies)"
15,3,2021,KKTG1,KKTG,8:25,1,2,H,,Upupa epops,Eurasian Hoopoe,EUHO,Bucerotiformes,Upupidae (Hoopoes)
15,3,2021,KKTG1,KKTG,8:25,1,2,H,,Centropus sinensis,Greater Coucal,GRCO,Cuculiformes,Cuculidae (Cuckoos)
15,3,2021,KKTG1,KKTG,8:25,1,1,H,,Gallus sonneratii,Gray Junglefowl,GRJU,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
15,3,2021,KKTG1,KKTG,8:25,1,3,H,,Gallus sonneratii,Gray Junglefowl,GRJU,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)"
13,2,2021,KKTG1,KKTG,7:14,2,1,H,,Phylloscopus trochiloides,Greenish Warbler,GRWA,Passeriformes,Phylloscopidae (Leaf Warblers)
15,3,2021,KKTG1,KKTG,8:25,2,2,H,,Phylloscopus trochiloides,Greenish Warbler,GRWA,Passeriformes,Phylloscopidae (Leaf Warblers)
15,3,2021,KKTG1,KKTG,8:25,1,1,H,,Turdus simillimus,Indian Blackbird,INBL,Passeriformes,Turdidae (Thrushes and Allies)
13,2,2021,KKTG1,KKTG,7:14,1,2,S,,Larvivora brunnea,Indian Blue Robin,IBRO,Passeriformes,Muscicapidae (Old World Flycatchers)
15,3,2021,KKTG1,KKTG,8:25,1,3,H,,Larvivora brunnea,Indian Blue Robin,IBRO,Passeriformes,Muscicapidae (Old World Flycatchers)
13,2,2021,KKTG1,KKTG,7:14,1,1,H,,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,ISBA,Passeriformes,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)"
15,3,2021,KKTG1,KKTG,8:25,1,1,H,,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,ISBA,Passeriformes,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)"
15,3,2021,KKTG1,KKTG,8:25,4,2,H,,Argya striata,Jungle Babbler,JUBA,Passeriformes,Leiothrichidae (Laughingthrushes and Allies)
15,3,2021,KKTG1,KKTG,8:25,2,1,H,,Acridotheres fuscus,Jungle Myna,JUMY,Passeriformes,Sturnidae (Starlings)
13,2,2021,KKTG1,KKTG,7:14,1,1,H,,Corvus macrorhynchos,Large-billed Crow,LBCR,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
13,2,2021,KKTG1,KKTG,7:14,1,3,S,,Corvus macrorhynchos,Large-billed Crow,LBCR,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
15,3,2021,KKTG1,KKTG,8:25,1,1,S,,Corvus macrorhynchos,Large-billed Crow,LBCR,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
15,3,2021,KKTG1,KKTG,8:25,4,2,H,,Corvus macrorhynchos,Large-billed Crow,LBCR,Passeriformes,"Corvidae (Crows, Jays, and Magpies)"
13,2,2021,KKTG1,KKTG,7:14,1,1,H,,Dicaeum concolor,Nilgiri Flowerpecker,NIFP,Passeriformes,Dicaeidae (Flowerpeckers)
15,3,2021,KKTG1,KKTG,8:25,2,1,H,,Dicaeum concolor,Nilgiri Flowerpecker,NIFP,Passeriformes,Dicaeidae (Flowerpeckers)
15,3,2021,KKTG1,KKTG,8:25,2,2,H,,Montecincla cachinnans,Nilgiri Laughingthrush,NILA,Passeriformes,Leiothrichidae (Laughingthrushes and Allies)
13,2,2021,KKTG1,KKTG,7:14,1,2,S,,Columba elphinstonii,Nilgiri Wood-Pigeon,NWPI,Columbiformes,Columbidae (Pigeons and Doves)
